MD,TVD,ROP,K,Pf,EffectiveLength
10345,10343.67,3.33461930922016,0.048338742438612,4654.6515,1
10385,10383.67,3.33461435474609,0.04815253181197,4672.6515,1
10416,10414.67,3.33461054120856,0.048009202403917,4686.6015,1
10447,10445.65,3.33462590438641,0.047866815372907,4700.5425,1
10478,10476.51,3.33475576496583,0.047725817089852,4714.4295,1
10509,10507.14,3.33510387153997,0.047586688670752,4728.213,1
10541,10538.38,3.33582010210182,0.04744562257197,4742.271,1
10572,10568.21,3.33692084658535,0.047311701792451,4755.6945,1
10604,10598.46,3.33856324065879,0.047176665289108,4769.307,1
10634,10626.12,3.34075452282424,0.047053863498624,4781.754,1
10665,10653.91,3.34375349639618,0.046931126694331,7457.737,1
10695,10679.95,3.34744502689053,0.04681669858005,7475.965,1
10726,10706,3.35204936685882,0.046702783485896,7494.2,1
10758,10732.11,3.35751544376295,0.046589160938529,7512.477,1
10789,10756.47,3.36366714847499,0.046483651235024,7529.529,1
10820,10779.7,3.3708583568892,0.046383480059742,7545.79,1
10851,10801.82,3.37907030472869,0.046288495827555,7561.274,1
10882,10822.73,3.38839816536348,0.046199064376548,7575.911,1
10913,10842.31,3.39895762216042,0.046115634030018,7589.617,1
10945,10861.13,3.41115149214809,0.046035725564467,7602.791,1
10976,10878,3.42423748316127,0.045964331678617,7614.6,1
11006,10892.93,3.43821580478878,0.045901332332072,7625.051,1
11037,10906.81,3.45412961241944,0.045842918323506,7634.767,1
11068,10918.89,3.47176822710655,0.045792200489244,7643.223,1
11100,10929.44,3.49183690671439,0.045747998067605,7650.608,1
11130,10937.88,3.51208303380455,0.045712697524566,7656.516,1
11161,10945.29,3.53432311505619,1,7661.703,1
11192,10951.35,3.55794206971515,1,7665.945,1
11224,10956.41,3.58357825346391,1,7669.487,1
11255,10960.46,3.60934917831242,1,7672.322,1
11286,10963.69,3.63603990745112,1,7674.583,1
11317,10966.03,3.66373795769192,0.045595352192179,7676.221,1
11348,10967.42,3.69252378156049,0.045589573482186,7677.194,1
11365,10967.68,3.7088797546156,0.045588492735018,7677.376,1
11386,10967.57,3.72958954601472,0.045588949967951,7677.299,1
11447,10967.13,3.79031076881799,0.045590778991404,7676.991,1
11478,10967.31,3.82100009525693,0.045590030736799,7677.117,1
11509,10967.76,3.85156915402036,0.045588160207736,7677.432,1
11570,10968.68,3.91215201987781,0.045584336492632,7678.076,1
11631,10970.26,3.97263944490752,0.045577771174065,7679.182,1
11692,10972.59,4.03290238471473,0.045568092856837,7680.813,1
11787,10976.16,4.12797737643291,0.045553271818195,7683.312,1
11881,10980.45,4.22257446237569,0.04553547441134,7686.315,1
11976,10984.72,4.31963581687685,0.045517773780306,7689.304,1
12072,10987.64,4.42082333962761,0.045505677288299,7691.348,1
12166,10988.93,4.5233059198833,0.045500335337472,7692.251,1
12261,10989.23,4.62971901002321,0.045499093203073,7692.461,1
12356,10990.25,4.73685105791583,0.045494870453356,7693.175,1
12451,10991.94,4.84471682308685,0.045487875661621,7694.358,1
12546,10993.27,4.95466061111598,0.04548237239693,7695.289,1
12641,10993.79,5.06734797595303,0.045480221106643,7695.653,1
12736,10994.02,5.18213029608092,0.045479269639313,7695.814,1
12831,10995.05,5.29747156495207,0.045475009208689,7696.535,1
12926,10996.15,5.41438624341376,0.045470460115586,7697.305,1
13021,10996.97,5.53340733079758,0.045467069565526,7697.879,1
13115,10997.15,5.65383569744559,0.045466325366118,7698.005,1
13210,10996.46,5.77867808472683,0.045469178262823,7697.522,1
13304,10997.24,5.9016621603241,0.045465953275549,7698.068,1
13399,10999.43,6.02539282501233,0.045456900948504,7699.601,1
13494,11001.98,6.1501868356699,0.045446365108826,7701.386,1
13589,11003.87,6.27776259815953,0.045438559343213,7702.709,1
13683,11004.65,6.40757978682501,0.045435338697732,7703.255,1
13778,11006.69,6.53833369685628,0.045426917629187,7704.683,1
13873,11009.79,6.66887839203996,0.045414126881621,7706.853,1
13968,11012.93,6.80100020613895,0.045401178432987,7709.051,1
14061,11016.15,6.93166950137966,0.045387907753616,7711.305,1
14125,11017.99,7.0232316498444,0.045380327990859,7712.593,1
14156,11018.52,7.06855455592026,0.045378145159241,7712.964,1
14252,11018.7,7.21298633666733,0.04537740386797,7713.09,1
14347,11017.61,7.36037352604006,0.045381893169208,7712.327,1
14441,11016.37,7.50853150953795,0.045387001344363,7711.459,1
14536,11015.28,7.65996640649585,0.045391492544901,7710.696,1
14631,11014.24,7.81334803272044,0.045395778555761,7709.968,1
14726,11013.19,7.96881488732841,0.04540010659945,7709.233,1
14820,11015.04,8.11830045708135,0.045392481552496,7710.528,1
14915,11019.3,8.26583054566417,0.045374933071974,7713.51,1
15010,11021.76,8.41914466603341,0.045364805620881,7715.232,1
15105,11023.04,8.57702713407877,0.045359537840741,7716.128,1
15200,11023.93,8.73776114083219,2,7716.751,1
15296,11024.47,8.9030581529518,2,7717.129,1
15390,11024.88,9.06719574463059,2,7717.416,1
15485,11026.92,9.2310202353155,2,7718.844,1
15580,11029.11,9.39636115081857,2,7720.377,1
15675,11028.19,9.57169109913746,2,7719.733,1
15770,11026.84,9.75035899912925,2,7718.788,1
15864,11028.26,9.92192316825211,2,7719.782,1
15958,11030.46,10.0933017066129,2,7721.322,1
16053,11030.13,10.2755592858687,2,7721.091,1
16148,11028.88,10.4626267739031,2,7720.216,1
16242,11031.48,10.6388801847743,2,7722.036,1
16338,11037.81,10.8100245021488,2,7726.467,1
16433,11043.84,10.981685267983,2,7730.688,1
16528,11047.76,11.1613561011542,0.045258043259448,7733.432,1
16623,11050.97,11.3450329119447,0.045244897054286,7735.679,1
16719,11053.99,11.5332693974924,0.045232535944035,7737.793,1
16813,11054.41,11.7275604329997,0.045230817384193,7738.087,1
16908,11053.29,11.931107784306,0.045235400500666,7737.303,1
17003,11053.15,12.1338107886486,0.045235973455531,7737.205,1
17097,11053.37,12.3354318112305,0.045235073104402,7737.359,1
17191,11053.14,12.5407974542385,0.045236014381434,7737.198,1
17286,11052.61,12.7516896298512,0.045238183560263,7736.827,1
17381,11052.26,12.9643200847981,0.045239616150905,7736.582,1
17476,11053.17,13.1748082948071,0.045235891603947,7737.219,1
17571,11055.08,13.3838947417498,0.045228076142371,7738.556,1
17666,11057.78,13.5921947348944,0.045217032713619,7740.446,1
17761,11060.23,13.8034775468707,0.045207016490616,7742.161,1
17855,11062.26,14.0160850454323,0.04519872069541,7743.582,1
17950,11064.51,14.2323149936659,0.045189529405279,7745.157,1
18046,11066.78,14.4529924133174,0.045180260202155,7746.746,1
18141,11068.57,14.6753297103864,0.045172953687785,7747.999,1
18236,11069.23,14.904426219702,0.045170260262006,7748.461,1
18331,11069.15,15.1389027609093,0.045170586720751,7748.405,1
18426,11068.62,15.3777045402027,0.045172749629132,7748.034,1
18520,11067.99,15.6169211689924,0.045175320902892,7747.593,1
18615,11067.79,15.8593409626877,0.045176137241491,7747.453,1
18710,11068.04,16.1023012629372,0.045175116822852,7747.628,1
18805,11069.35,16.3430233011072,0.045169770582735,7748.545,1
18899,11072.32,16.5759845762423,0.045157654403052,7750.624,1
18995,11074.65,16.8192493658987,0.045148153666256,7752.255,1
19090,11075.39,17.0694467951548,0.045145137101267,7752.773,1
19185,11075.67,17.3242376855983,0.045143995803414,7752.969,1
19280,11075.01,17.5860155516643,0.0451466860978,7752.507,1
19375,11075.19,17.846387654049,0.04514595234935,7752.633,1
19469,11077.02,18.0984282790128,0.045138493927067,7753.914,1
19564,11077.89,18.3603333701479,0.045134948983967,7754.523,1
19659,11077.35,18.6318242788043,0.045137149227929,7754.145,1
19754,11078.53,18.8972008641549,0.045132341565172,7754.971,1
19850,11081.32,19.1595713915878,0.045120978367198,7756.924,1
19944,11083.77,19.420169958075,0.04511100464914,7758.639,1
20039,11084.79,19.69357092576,0.045106853625554,7759.353,1
20134,11083.97,19.97942168424,0.045110190662732,7758.779,1
20228,11083.59,20.2626491069429,0.045111737262024,7758.513,1
20322,11084.66,20.5404974326747,0.045107382635101,7759.262,1
20417,11086.37,20.8202732641663,0.045100425116607,7760.459,1
20512,11088.14,21.1021480928664,0.045093225734884,7761.698,1
20607,11089.7,21.3876793993379,0.045086882422428,7762.79,1
20701,11091.52,21.6710284061479,0.045079484146447,7764.064,1
20744,11092.58,21.8001031200104,0.045075176379165,7764.806,1
